run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR2017478	SAMEA104142380	ERX2077060	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017478/ERR2017478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017478/ERR2017478_2.fastq.gz
ERR2017479	SAMEA104142381	ERX2077061	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017479/ERR2017479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017479/ERR2017479_2.fastq.gz
ERR2017482	SAMEA104142383	ERX2077064	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017482/ERR2017482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017482/ERR2017482_2.fastq.gz
ERR2017484	SAMEA104142385	ERX2077066	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017484/ERR2017484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017484/ERR2017484_2.fastq.gz
ERR2017494	SAMEA104142451	ERX2077076	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017494/ERR2017494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017494/ERR2017494_2.fastq.gz
ERR2017495	SAMEA104142452	ERX2077077	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017495/ERR2017495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017495/ERR2017495_2.fastq.gz
ERR2017500	SAMEA104142225	ERX2077082	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017500/ERR2017500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017500/ERR2017500_2.fastq.gz
ERR2017504	SAMEA104142398	ERX2077086	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017504/ERR2017504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017504/ERR2017504_2.fastq.gz
ERR2017510	SAMEA104142404	ERX2077092	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017510/ERR2017510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017510/ERR2017510_2.fastq.gz
ERR2017513	SAMEA104142406	ERX2077095	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017513/ERR2017513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017513/ERR2017513_2.fastq.gz
ERR2017516	SAMEA104142448	ERX2077098	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017516/ERR2017516.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017516/ERR2017516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017516/ERR2017516_2.fastq.gz
ERR2017519	SAMEA104142216	ERX2077101	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017519/ERR2017519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017519/ERR2017519_2.fastq.gz
ERR2017521	SAMEA104142217	ERX2077103	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017521/ERR2017521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017521/ERR2017521_2.fastq.gz
ERR2017525	SAMEA104142213	ERX2077107	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017525/ERR2017525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017525/ERR2017525_2.fastq.gz
ERR2017531	SAMEA104142078	ERX2077113	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017531/ERR2017531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017531/ERR2017531_2.fastq.gz
ERR2017533	SAMEA104142153	ERX2077115	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017533/ERR2017533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017533/ERR2017533_2.fastq.gz
ERR2017541	SAMEA104142145	ERX2077123	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017541/ERR2017541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017541/ERR2017541_2.fastq.gz
ERR2017542	SAMEA104142144	ERX2077124	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017542/ERR2017542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017542/ERR2017542_2.fastq.gz
ERR2017548	SAMEA104142138	ERX2077130	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017548/ERR2017548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017548/ERR2017548_2.fastq.gz
ERR2017554	SAMEA104142132	ERX2077136	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017554/ERR2017554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017554/ERR2017554_2.fastq.gz
ERR2017555	SAMEA104142131	ERX2077137	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017555/ERR2017555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017555/ERR2017555_2.fastq.gz
ERR2017564	SAMEA104142076	ERX2077146	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017564/ERR2017564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017564/ERR2017564_2.fastq.gz
ERR2017568	SAMEA104142075	ERX2077150	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017568/ERR2017568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017568/ERR2017568_2.fastq.gz
ERR2017575	SAMEA104142113	ERX2077157	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017575/ERR2017575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017575/ERR2017575_2.fastq.gz
ERR2017577	SAMEA104142111	ERX2077159	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017577/ERR2017577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017577/ERR2017577_2.fastq.gz
ERR2017579	SAMEA104142073	ERX2077161	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017579/ERR2017579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017579/ERR2017579_2.fastq.gz
ERR2017584	SAMEA104142102	ERX2077166	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017584/ERR2017584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017584/ERR2017584_2.fastq.gz
ERR2017595	SAMEA104142089	ERX2077177	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017595/ERR2017595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017595/ERR2017595_2.fastq.gz
ERR2017598	SAMEA104142287	ERX2077180	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017598/ERR2017598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017598/ERR2017598_2.fastq.gz
