run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR321124	SAMEA2162297	ERX294257	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321124/ERR321124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321124/ERR321124_2.fastq.gz
ERR321125	SAMEA2148374	ERX294258	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321125/ERR321125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321125/ERR321125_2.fastq.gz
ERR321127	SAMEA2161309	ERX294260	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321127/ERR321127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321127/ERR321127_2.fastq.gz
ERR321130	SAMEA2150994	ERX294263	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321130/ERR321130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321130/ERR321130_2.fastq.gz
ERR321132	SAMEA2155745	ERX294265	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321132/ERR321132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321132/ERR321132_2.fastq.gz
ERR321134	SAMEA2153837	ERX294267	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321134/ERR321134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321134/ERR321134_2.fastq.gz
ERR321135	SAMEA2150187	ERX294268	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321135/ERR321135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321135/ERR321135_2.fastq.gz
ERR321136	SAMEA2150187	ERX294269	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321136/ERR321136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321136/ERR321136_2.fastq.gz
ERR321140	SAMEA2146321	ERX294273	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321140/ERR321140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321140/ERR321140_2.fastq.gz
ERR321142	SAMEA2154082	ERX294275	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321142/ERR321142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321142/ERR321142_2.fastq.gz
ERR321143	SAMEA2162530	ERX294276	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321143/ERR321143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321143/ERR321143_2.fastq.gz
ERR321148	SAMEA2143295	ERX294281	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321148/ERR321148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321148/ERR321148_2.fastq.gz
ERR321149	SAMEA2142583	ERX294282	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321149/ERR321149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321149/ERR321149_2.fastq.gz
ERR321150	SAMEA2142583	ERX294283	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321150/ERR321150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321150/ERR321150_2.fastq.gz
ERR321157	SAMEA2152768	ERX294290	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321157/ERR321157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321157/ERR321157_2.fastq.gz
ERR321158	SAMEA2152768	ERX294291	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321158/ERR321158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321158/ERR321158_2.fastq.gz
ERR321166	SAMEA2148024	ERX294299	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321166/ERR321166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321166/ERR321166_2.fastq.gz
ERR321167	SAMEA2152315	ERX294300	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321167/ERR321167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321167/ERR321167_2.fastq.gz
ERR321174	SAMEA2149568	ERX294307	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321174/ERR321174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321174/ERR321174_2.fastq.gz
ERR321182	SAMEA2146778	ERX294315	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321182/ERR321182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321182/ERR321182_2.fastq.gz
ERR321183	SAMEA2148733	ERX294316	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321183/ERR321183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321183/ERR321183_2.fastq.gz
ERR321184	SAMEA2148733	ERX294317	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321184/ERR321184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321184/ERR321184_2.fastq.gz
ERR321186	SAMEA2150283	ERX294319	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321186/ERR321186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321186/ERR321186_2.fastq.gz
ERR321192	SAMEA2155215	ERX294325	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321192/ERR321192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321192/ERR321192_2.fastq.gz
ERR321193	SAMEA2161608	ERX294326	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321193/ERR321193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321193/ERR321193_2.fastq.gz
ERR321199	SAMEA2151035	ERX294332	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321199/ERR321199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321199/ERR321199_2.fastq.gz
ERR321204	SAMEA2150814	ERX294337	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321204/ERR321204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321204/ERR321204_2.fastq.gz
ERR321206	SAMEA2154930	ERX294339	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321206/ERR321206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321206/ERR321206_2.fastq.gz
ERR321208	SAMEA2162460	ERX294341	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321208/ERR321208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321208/ERR321208_2.fastq.gz
ERR321211	SAMEA2143745	ERX294344	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321211/ERR321211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321211/ERR321211_2.fastq.gz
ERR321224	SAMEA2159541	ERX294357	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321224/ERR321224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321224/ERR321224_2.fastq.gz
ERR321231	SAMEA2158480	ERX294364	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321231/ERR321231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321231/ERR321231_2.fastq.gz
ERR321237	SAMEA2152904	ERX294370	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321237/ERR321237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321237/ERR321237_2.fastq.gz
ERR321240	SAMEA2151468	ERX294373	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321240/ERR321240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321240/ERR321240_2.fastq.gz
ERR321243	SAMEA2154726	ERX294376	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321243/ERR321243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321243/ERR321243_2.fastq.gz
ERR321247	SAMEA2163052	ERX294380	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321247/ERR321247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321247/ERR321247_2.fastq.gz
ERR321253	SAMEA1969126	ERX294386	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321253/ERR321253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321253/ERR321253_2.fastq.gz
